Name,Status,HierarchyPath
L05_Vertebra_male,Inactive,Skeleton_system/Back/MalORZe/L05_Vertebra_male
Promontory_lymph_node_male,Inactive,Lymphatic_system/Pelvis_and_Hip/OPQRSTMale/Promontory_lymph_node_male
Posterior_parietal_L,Inactive,Artery_system/Head_and_Neck/Posterior_parietal_L
Superficial_parotid_lymph_nodes_L,Inactive,Lymphatic_system/Head_and_Neck/Superficial_parotid_lymph_nodes_L
Anal_sphincter_internal_L,Active,Muscle_system/Pelvis_and_Hip/Common/Anal_sphincter_internal_L
Posterior_femoral_cutaneous_female_L,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/Posterior_femoral_cutaneous_female_L
Postcentral_gyrus_R,Inactive,Nervous_system/Head_and_Neck/Common/brain/Cerebral_cortex/Right_cerebral_cortex/Right_parietal_lobe/Postcentral_gyrus_R
MHIJKale,Inactive,Nervous_system/Pelvis_and_Hip/Repetition_with_LLL/MHIJKale
Semimembranosus_male_R,Inactive,Muscle_system/Lower_Limb_R/Male/Semimembranosus_male_R
White_rami_communicantes_thoracic_region_R,Inactive,Nervous_system/Thorax/Common/White_rami_communicantes_thoracic_region_R
ABCDEFG2nd_Proximal_phalanx_hand_L,Inactive,Skeleton_system/Arm_L/ABCDEFG2nd_Proximal_phalanx_hand_L
Lumbrical_4th_L,Inactive,Muscle_system/Arm_L/Lumbrical_4th_L
Opponens_digiti_minimi_456foot789_R,Inactive,Muscle_system/Lower_Limb_R/Common/Opponens_digiti_minimi_456foot789_R
Cisterna_chyli_female,Inactive,Lymphatic_system/Abdomen/FemHIJKale/Cisterna_chyli_female
Posterior_hypothalamic_area_R,Inactive,Nervous_system/Head_and_Neck/Common/brain/Posterior_hypothalamic_area_R
T07_Dorsal_ramus_L,Inactive,Nervous_system/Back/Common/T07_Dorsal_ramus_L
MaABCDEFGle,Inactive,Nervous_system/Head_and_Neck/Repetition_with_Thorax/MaABCDEFGle
Body_of_sternum,Inactive,Skeleton_system/Thorax/Body_of_sternum
Interphalangeal_456proximal789_articular_capsules_of_the_hand_456PIP_joints789_L,Inactive,Ligament_system/Arm_L/Interphalangeal_456proximal789_articular_capsules_of_the_hand_456PIP_joints789_L
Female,Inactive,Artery_system/Lower_Limb_R/Female
C05_Ventral_root_L,Inactive,Nervous_system/Head_and_Neck/Common/C05_Ventral_root_L
Retromandibular_anterior_division_L,Inactive,Vein_system/Head_and_Neck/Retromandibular_anterior_division_L
ABCDEFG3rd_Middle_phalanx_hand_R,Inactive,Skeleton_system/Arm_R/ABCDEFG3rd_Middle_phalanx_hand_R
Superior_thyroid_L_A,Inactive,Artery_system/Head_and_Neck/Superior_thyroid_L_A
Lateral_cord_456C05246C07789_L,Inactive,Nervous_system/Thorax/Common/Lateral_cord_456C05246C07789_L
Levator_veli_palatini_R,Inactive,Muscle_system/Head_and_Neck/Levator_veli_palatini_R
Molar_first_14_L,Inactive,Skeleton_system/Head_and_Neck/Molar_first_14_L
Primary_capillary_plexus_R,Inactive,Vein_system/Head_and_Neck/Primary_capillary_plexus_R
